arquivo_md,arquivo_fonte,nome_documento,padrao_detectado,encoding_detectado,processado_em,reference_count,h1_total,h2_total,h3_total,h4_total,h5_total,h6_total,headings_total,artigos_com_heading,artigos_no_indice,ancoras_no_texto,links_quebrados,links_quebrados_ids,paragrafos_bold,incisos,alineas,mojibake_residual,mojibake_amostras,blocos_em_branco_3x,max_linhas_brancas,total_chars,total_palavras,total_linhas,linhas_corpo,tamanho_kb,sha256
D9580_processed.md,D9580.html,"Decreto nº 9.580, de 22 de novembro de 2018",planalto,cp1252,13/03/2026 14:01,0,2,3,8,82,282,448,825,0,0,0,0,,0,0,0,False,,2241,4,1285242,219610,24666,8117,1307.44,b501901708b7f62877efb79880568f9bc52e582c74ffe8894407c7fd6c6fe4f1
IN RFB nº 1500_2014_processed.md,IN RFB nº 1500_2014.html,"Instrução Normativa RFB nº 1500, de 29 de outubro de 2014",rfb_spa,utf-8,13/03/2026 14:01,0,2,1,2,2,40,106,153,0,0,0,0,,0,0,0,False,,327,4,182095,29663,3469,1009,184.34,3e55dc4f7b25ffc735ef4c89fa2647b4f0e2f36060345230c7e5c58e1d5d15a4
IN RFB nº 2178_2024_processed.md,IN RFB nº 2178_2024.html,"Instrução Normativa RFB nº 2178, de 05 de março de 2024",rfb_spa,utf-8,13/03/2026 14:01,0,2,1,2,2,26,0,33,0,0,0,0,,0,0,0,False,,57,4,30277,4908,666,193,30.66,e90cb3d4f2aece5a2dd69f597cc6d1f320f87917493d71cb94807d301f45ab0a
L15270_processed.md,L15270.html,"Lei nº 15.270, de 26 de novembro de 2025",planalto,cp1252,13/03/2026 14:01,406,2,1,8,0,14,0,25,0,0,0,0,,0,0,0,False,,33,4,25115,4193,506,154,25.35,4248212fea7bd968b17880510780050406ddb72bd4941e8337dad8c48bbaa5eb
L7713compilada_processed.md,L7713compilada.html,"Lei nº 7.713, de 22 de dezembro de 1988",planalto,cp1252,13/03/2026 14:01,0,2,1,0,0,6,0,9,0,0,0,0,,0,0,0,False,,84,4,47441,7927,1006,356,48.01,33ac0f16fe3840d8e8b1cc68f548b77a8d9eb8e36acbfa03de1fd551e1614f0b
L9250compilado_processed.md,L9250compilado.html,"Lei nº 9.250, de 26 de dezembro de 1995",planalto,cp1252,13/03/2026 14:01,0,2,1,12,0,17,0,32,0,0,0,0,,0,0,0,False,,96,4,68256,11369,1245,419,69.08,4c1bc5e345abe1b3ded4fe89d3bb0a2c7c3a1485398e09d950740f13d5d44d3f
