arquivo_md,arquivo_fonte,nome_documento,padrao_detectado,encoding_detectado,processado_em,reference_count,h1_total,h2_total,h3_total,h4_total,h5_total,h6_total,headings_total,artigos_com_heading,artigos_no_indice,ancoras_no_texto,links_quebrados,links_quebrados_ids,paragrafos_bold,incisos,alineas,mojibake_residual,mojibake_amostras,blocos_em_branco_3x,max_linhas_brancas,total_chars,total_palavras,total_linhas,linhas_corpo,tamanho_kb,sha256
D9580_processed.md,D9580.html,"Decreto nº 9.580, de 22 de novembro de 2018",planalto,cp1252,01/03/2026 04:47,0,4,52,787,221,569,46,1679,676,673,673,0,,1632,1660,334,False,,0,2,1221414,210154,15100,2591,1242.83,d5a7fcd83b8fc8f8fc5800d7474e70c613d5a4677945cee89023b12942863c51
IN RFB nº 1500_2014_processed.md,IN RFB nº 1500_2014.html,"Instrução Normativa RFB nº 1500, de 29 de outubro de 2014",rfb_spa,utf-8,01/03/2026 04:47,0,2,3,20,53,13,123,214,123,114,123,0,,241,363,56,False,,0,2,173887,28706,1986,191,176.05,8ff328154e97cb4e42017e9423c06a422234295552c1c780a0828fe36aa60b93
IN RFB nº 2178-2024_processed.md,IN RFB nº 2178-2024.html,"Instrução Normativa RFB nº 2178, de 05 de março de 2024",rfb_spa,utf-8,01/03/2026 04:47,0,2,3,13,0,0,17,35,17,17,17,0,,39,70,29,False,,0,2,28707,4752,369,38,29.08,d7133b743f06c3b170ec1e70029361bb656e972dbf04f2a42246b49f1fbd8037
IN RFB nº 2178_2024_processed.md,IN RFB nº 2178_2024.html,"Instrução Normativa RFB nº 2178, de 05 de março de 2024",rfb_spa,utf-8,01/03/2026 04:47,0,2,3,13,0,0,17,35,17,17,17,0,,39,70,29,False,,0,2,28707,4752,369,38,29.08,7ae6463584d00c352d25cc40c80de80733a1620808c361cf3049c597c9caecd5
L15270_processed.md,L15270.html,"Lei nº 15.270, de 26 de novembro de 2025",planalto,cp1252,01/03/2026 04:47,406,1,2,4,0,0,10,17,10,9,10,0,,27,42,27,False,,0,2,24373,4068,283,57,24.61,5b2972bcd9f4686385f034014073b24e1816a3d44eb48cd6e9095cc6a6c9571e
L7713compilada_processed.md,L7713compilada.html,"Lei nº 7.713, de 22 de dezembro de 1988",planalto,cp1252,01/03/2026 04:47,0,1,2,0,0,0,56,59,54,54,56,0,,57,52,44,False,,0,2,46997,7852,653,145,47.58,24b6380fa828f9a6aa59dbe2a057c3f67491818691b5acb31794c4ef88daf200
L9250compilado_processed.md,L9250compilado.html,"Lei nº 9.250, de 26 de dezembro de 1995",planalto,cp1252,01/03/2026 04:47,0,1,2,13,0,0,45,61,46,41,46,0,,66,98,57,False,,0,2,66611,11157,755,157,67.44,43fb799555ecfd510a3e8e1fab6816f9f63be54a9f379ec5993455b082f17c98
