arquivo_json;experiment_name;timestamp;total_questions;successful_queries;failed_queries;config_use_rag;config_retrieval_method;config_k;config_dense_weight;config_bm25_weight;config_llm;latency_ms_mean;latency_ms_std;latency_ms_min;latency_ms_max;latency_ms_median;num_chunks_mean;num_chunks_std;num_chunks_min;num_chunks_max;num_chunks_median;tokens_used_mean;tokens_used_std;tokens_used_min;tokens_used_max;tokens_used_median;bertscore_precision_mean;bertscore_precision_std;bertscore_precision_min;bertscore_precision_max;bertscore_precision_median;bertscore_recall_mean;bertscore_recall_std;bertscore_recall_min;bertscore_recall_max;bertscore_recall_median;bertscore_f1_mean;bertscore_f1_std;bertscore_f1_min;bertscore_f1_max;bertscore_f1_median;answer_relevancy_mean;answer_relevancy_std;answer_relevancy_min;answer_relevancy_max;answer_relevancy_median;faithfulness_mean;faithfulness_std;faithfulness_min;faithfulness_max;faithfulness_median;context_precision_mean;context_precision_std;context_precision_min;context_precision_max;context_precision_median;context_recall_mean;context_recall_std;context_recall_min;context_recall_max;context_recall_median;config_use_few_shot
chunk_count_k10.json;chunk_count_k10;2026-02-16T12:32:01.579601;1;1;0;True;hybrid;10,0;0,7;0,3;gemini-2.5-flash;3606,6946983337402;0,0;3606,6946983337402;3606,6946983337402;3606,6946983337402;10,0;0,0;10,0;10,0;10,0;217,0;0,0;217,0;217,0;217,0;0,6090781688690186;0,0;0,6090781688690186;0,6090781688690186;0,6090781688690186;0,6396411061286926;0,0;0,6396411061286926;0,6396411061286926;0,6396411061286926;0,6239856481552124;0,0;0,6239856481552124;0,6239856481552124;0,6239856481552124;0,9020902564961016;0,0;0,9020902564961016;0,9020902564961016;0,9020902564961016;0,9;0,0;0,9;0,9;0,9;0,6111111110805556;0,0;0,6111111110805556;0,6111111110805556;0,6111111110805556;0,3333333333333333;0,0;0,3333333333333333;0,3333333333333333;0,3333333333333333;
chunk_count_k3.json;chunk_count_k3;2026-02-16T12:29:54.794296;1;1;0;True;hybrid;3,0;0,7;0,3;gemini-2.5-flash;2449,6495723724365;0,0;2449,6495723724365;2449,6495723724365;2449,6495723724365;3,0;0,0;3,0;3,0;3,0;156,0;0,0;156,0;156,0;156,0;0,627905011177063;0,0;0,627905011177063;0,627905011177063;0,627905011177063;0,6498352289199829;0,0;0,6498352289199829;0,6498352289199829;0,6498352289199829;0,638681948184967;0,0;0,638681948184967;0,638681948184967;0,638681948184967;0,8695657256270275;0,0;0,8695657256270275;0,8695657256270275;0,8695657256270275;1,0;0,0;1,0;1,0;1,0;0,9999999999;0,0;0,9999999999;0,9999999999;0,9999999999;0,3333333333333333;0,0;0,3333333333333333;0,3333333333333333;0,3333333333333333;
chunk_count_k5.json;chunk_count_k5;2026-02-16T12:30:46.927471;1;1;0;True;hybrid;5,0;0,7;0,3;gemini-2.5-flash;2731,71067237854;0,0;2731,71067237854;2731,71067237854;2731,71067237854;5,0;0,0;5,0;5,0;5,0;160,0;0,0;160,0;160,0;160,0;0,5802878141403198;0,0;0,5802878141403198;0,5802878141403198;0,5802878141403198;0,6024550199508667;0,0;0,6024550199508667;0,6024550199508667;0,6024550199508667;0,591163694858551;0,0;0,591163694858551;0,591163694858551;0,591163694858551;0,9020902564961016;0,0;0,9020902564961016;0,9020902564961016;0,9020902564961016;1,0;0,0;1,0;1,0;1,0;0,9999999999;0,0;0,9999999999;0,9999999999;0,9999999999;0,3333333333333333;0,0;0,3333333333333333;0,3333333333333333;0,3333333333333333;
model_comparison_groq_k10_bm25_few_shot.json;model_comparison_groq_k10_bm25_few_shot;2026-02-16T15:52:53.541181;1;1;0;True;bm25;10,0;;;groq:llama-3.1-8b-instant;756,6783428192139;0,0;756,6783428192139;756,6783428192139;756,6783428192139;10,0;0,0;10,0;10,0;10,0;3606,0;0,0;3606,0;3606,0;3606,0;0,6004005670547485;0,0;0,6004005670547485;0,6004005670547485;0,6004005670547485;0,6321005821228027;0,0;0,6321005821228027;0,6321005821228027;0,6321005821228027;0,6158429384231567;0,0;0,6158429384231567;0,6158429384231567;0,6158429384231567;0,8973625142032539;0,0;0,8973625142032539;0,8973625142032539;0,8973625142032539;1,0;0,0;1,0;1,0;1,0;0,6111111110805556;0,0;0,6111111110805556;0,6111111110805556;0,6111111110805556;0,3333333333333333;0,0;0,3333333333333333;0,3333333333333333;0,3333333333333333;True
model_comparison_groq_k10_bm25_few_shot_20260216_185201.json;model_comparison_groq_k10_bm25_few_shot;2026-02-16T18:52:01.481966;3;3;0;True;bm25;10,0;;;groq:llama-3.1-8b-instant;779,9067497253418;152,54389377579193;614,8958206176758;982,757568359375;742,0668601989746;10,0;0,0;10,0;10,0;10,0;3110,3333333333335;103,1579156223872;3004,0;3250,0;3077,0;0,5800883968671163;0,024746207019099267;0,5456580519676208;0,6027327179908752;0,5918744206428528;0,5908122460047404;0,08469311158082467;0,47108328342437744;0,6535256505012512;0,6478278040885925;0,5812744498252869;0,041861516499667725;0,5246157050132751;0,6244671940803528;0,5947404503822327;0,852056089591296;0,06581200486410879;0,7590738195875657;0,9020902564961016;0,8950041926902209;0,9722222222222222;0,039283710065919325;0,9166666666666666;1,0;1,0;0,4728042327857027;0,2581034163500435;0,11111111109999999;0,6961904761765524;0,6111111110805556;0,3333333333333333;0,0;0,3333333333333333;0,3333333333333333;0,3333333333333333;True
model_comparison_groq_k10_bm25_few_shot_20260217_012643.json;model_comparison_groq_k10_bm25_few_shot;2026-02-17T01:26:43.457183;29;29;0;True;bm25;10,0;;;groq:llama-3.1-8b-instant;983,9764874556969;273,0730358764211;563,6529922485352;1597,3026752471924;962,8713130950928;10,0;0,0;10,0;10,0;10,0;3391,5862068965516;273,8440932281673;2907,0;3828,0;3377,0;0,5966848946850876;0,05711744086195334;0,41857263445854187;0,6978105306625366;0,5965535044670105;0,5820306005149052;0,10188981090008364;0,3349515199661255;0,7854670286178589;0,6089022755622864;0,5824443821249337;0,06097813560323569;0,427348792552948;0,6626030206680298;0,6011112332344055;0,432479693855327;0,4192281131128625;0,0;0,9240527147731153;0,7406446482990342;0,6097935873717876;0,3460224499694903;0,0;1,0;0,6666666666666666;0,4774822112515213;0,36432027999271777;0,0;0,999999999975;0,49999999995;0,37972085385878485;0,38696437367707504;0,0;1,0;0,3333333333333333;True
model_comparison_groq_k10_dense_few_shot.json;model_comparison_groq_k10_dense_few_shot;2026-02-16T15:51:51.755640;1;1;0;True;dense;10,0;;;groq:llama-3.1-8b-instant;1036,7076396942139;0,0;1036,7076396942139;1036,7076396942139;1036,7076396942139;1,0;0,0;1,0;1,0;1,0;1330,0;0,0;1330,0;1330,0;1330,0;0,6024925708770752;0,0;0,6024925708770752;0,6024925708770752;0,6024925708770752;0,6286435127258301;0,0;0,6286435127258301;0,6286435127258301;0,6286435127258301;0,6152902841567993;0,0;0,6152902841567993;0,6152902841567993;0,6152902841567993;0,8973625142032539;0,0;0,8973625142032539;0,8973625142032539;0,8973625142032539;0,5;0,0;0,5;0,5;0,5;0,9999999999;0,0;0,9999999999;0,9999999999;0,9999999999;0,3333333333333333;0,0;0,3333333333333333;0,3333333333333333;0,3333333333333333;True
model_comparison_groq_k10_dense_few_shot_20260216_184811.json;model_comparison_groq_k10_dense_few_shot;2026-02-16T18:48:11.435834;3;3;0;True;dense;10,0;;;groq:llama-3.1-8b-instant;947,1306006113688;90,17710707104693;819,7662830352783;1016,4353847503662;1005,1901340484619;1,3333333333333333;0,4714045207910317;1,0;2,0;1,0;814,6666666666666;30,444849956747838;775,0;849,0;820,0;0,5815017422040304;0,0182715042788903;0,5604443550109863;0,6050000786781311;0,5790607929229736;0,5892276565233866;0,06562430793414631;0,5064935088157654;0,6670106649398804;0,5941787958145142;0,5838880737622579;0,03875710464515251;0,5403516292572021;0,6344938278198242;0,5768187642097473;0,844028228865476;0,018189300963948826;0,8285849340369871;0,8695657256270275;0,8339340269324135;0,9333333333333332;0,09428090415820632;0,8;1,0;1,0;0,83333333325;0,2357022603719456;0,49999999995;0,9999999999;0,9999999999;0,2222222222222222;0,15713484026367722;0,0;0,3333333333333333;0,3333333333333333;True
model_comparison_groq_k10_dense_few_shot_20260217_004141.json;model_comparison_groq_k10_dense_few_shot;2026-02-17T00:41:41.290187;29;29;0;True;dense;10,0;;;groq:llama-3.1-8b-instant;1187,9524691351528;306,4033885178592;838,2492065429688;2119,741439819336;1109,0810298919678;5,0344827586206895;3,200029726377981;0,0;10,0;5,0;2051,2758620689656;981,2736584998275;399,0;3805,0;1961,0;0,6138360037885863;0,06200202889255259;0,4366486966609955;0,7254464626312256;0,6130954027175903;0,598374388341246;0,11714652841125194;0,3032296895980835;0,8792278170585632;0,5998839139938354;0,6003859495294506;0,08098141031499816;0,39690035581588745;0,7949684262275696;0,617412805557251;0,44575538928276953;0,41573300409345515;0,0;0,8698571760814316;0,7663565098070046;0,5421167011768516;0,3895617125500815;0,0;1,0;0,5419580419580419;0,6380881518888682;0,37754197178005616;0,0;0,9999999999666667;0,736111111080324;0,3805272108843537;0,3806397811678952;0,0;1,0;0,3333333333333333;True
model_comparison_groq_k10_hybrid_50_50_few_shot.json;model_comparison_groq_k10_hybrid_50_50_few_shot;2026-02-16T15:55:06.495818;1;1;0;True;hybrid;10,0;0,5;0,5;groq:llama-3.1-8b-instant;1578,2463550567627;0,0;1578,2463550567627;1578,2463550567627;1578,2463550567627;10,0;0,0;10,0;10,0;10,0;3539,0;0,0;3539,0;3539,0;3539,0;0,6402145028114319;0,0;0,6402145028114319;0,6402145028114319;0,6402145028114319;0,6516046524047852;0,0;0,6516046524047852;0,6516046524047852;0,6516046524047852;0,6458593606948853;0,0;0,6458593606948853;0,6458593606948853;0,6458593606948853;0,8650010158762768;0,0;0,8650010158762768;0,8650010158762768;0,8650010158762768;1,0;0,0;1,0;1,0;1,0;0,6111111110805556;0,0;0,6111111110805556;0,6111111110805556;0,6111111110805556;0,3333333333333333;0,0;0,3333333333333333;0,3333333333333333;0,3333333333333333;True
